COUNT  CLUSTER-ID             CLUSTER-SIZE  |MACHINE-EVAL           |MACHINE-MIN-EVAL       |MACHINE-AVG-EVAL       |MACHINE-ALL-EVAL       |HUMAN-EVAL  |HAS-CYCLE   NOT GOOD  CYCLE  |COMMENT                |RESOURCES              
1      N3571509405667381305   4             |-GOOD [1.0]-           |-GOOD [0.9]-           |-GOOD [0.933]-         |-GOOD [0.957]-         |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24714409p2                     | Baptism002                          | Jansz, Aert                         |                                     | Jansz, Aert                         | Pieters, Gerritjen                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1612-01-04
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |9930                                | Ecartico                            | Aert Jansz                          | 1637-10-24                          | Aert Jansz                          | Claesje Dircks                      |                                     |                                     |                                     |                                     |                                     | 1655-09-17                          | 1605-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26358072p1                     | Marriage003                         | Jansz, Aart                         | 1616-04-16                          | Jansz, Aart                         |                                     |                                     | Jans, Geertje                       |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26358078p1                     | Marriage003                         | Jansz, Aart                         | 1619-06-01                          | Jansz, Aart                         | Jans, Jannetje                      |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

2      N7628735469830558229   2             |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24207780p1                     | Baptism002                          | Erasmus, Trijntje                   |                                     | Jansz, Claes                        | Erasmus, Trijntje                   |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1633-01-23
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |27431                               | Ecartico                            | Trijntje Erasmus                    | 1631-09-05                          |                                     | Trijntje Erasmus                    |                                     |                                     |                                     |                                     |                                     | 1656-02-10                          | 1604-01-01                          |

3      N8582532269741126527   3             |-BAD [0.223]-          |-BAD [0.212]-          |-BAD [0.212]-          |-BAD [0.226]-          |-B-         |no         -OK-              |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId24227049p1                     | Baptism002                          | Gijsberts, Gijsbertjen              |                                     | Ewoutsz Bout, Claes                 | Gijsberts, Gijsbertjen              |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1605-11-17
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24514619p1                     | Baptism002                          | Gijsbers, Gijsbertje                |                                     | Jansz Hoorn, Jan [van]              | Gijsbers, Gijsbertje                |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1640-12-25
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |14802                               | Ecartico                            | Gijsbertje Gijsberts                | 1608-01-01                          | Bont, Claes Ewoutsz. [de]           | Gijsbertje Gijsberts                |                                     |                                     |                                     |                                     |                                     | 1609-01-01                          |                                     |

4      N3475321700188264084   4             |-GOOD [1.0]-           |-GOOD [1.0]-           |-GOOD [1.0]-           |-GOOD [1.0]-           |-B-         |no                           | redirected            |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24362254p1                     | Baptism002                          | Jans, Erm                           |                                     | Jansz, Pieter                       | Jans, Erm                           |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1632-01-04
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |20061                               | Ecartico                            | Erm Jans                            | 1606-01-01                          |                                     | Erm Jans                            |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26339773p2                     | Marriage003                         | Jans, Erm                           | 1609-11-14                          |                                     | Jans, Erm                           | Willemsz, Willem                    |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26340095p2                     | Marriage003                         | Jans, Erm                           | 1638-01-23                          |                                     | Jans, Erm                           | Adriaensz, Thomas                   |                                     |                                     |                                     |                                     |                                     |                                     |

